10	0	1
100	0	1
1000	0	1
5000	0	1
10	10	1
100	10	1
1000	10	1
5000	10	1
10	100	1
100	100	1
1000	100	1
5000	100	1
10	1000	1
100	1000	1
1000	1000	1
5000	1000	1
10	0	2
100	0	2
1000	0	2
5000	0	2
10	10	2
100	10	2
1000	10	2
5000	10	2
10	100	2
100	100	2
1000	100	2
5000	100	2
10	1000	2
100	1000	2
1000	1000	2
5000	1000	2
10	0	3
100	0	3
1000	0	3
5000	0	3
10	10	3
100	10	3
1000	10	3
5000	10	3
10	100	3
100	100	3
1000	100	3
5000	100	3
10	1000	3
100	1000	3
1000	1000	3
5000	1000	3
10	0	4
100	0	4
1000	0	4
5000	0	4
10	10	4
100	10	4
1000	10	4
5000	10	4
10	100	4
100	100	4
1000	100	4
5000	100	4
10	1000	4
100	1000	4
1000	1000	4
5000	1000	4
10	0	5
100	0	5
1000	0	5
5000	0	5
10	10	5
100	10	5
1000	10	5
5000	10	5
10	100	5
100	100	5
1000	100	5
5000	100	5
10	1000	5
100	1000	5
1000	1000	5
5000	1000	5
10	0	6
100	0	6
1000	0	6
5000	0	6
10	10	6
100	10	6
1000	10	6
5000	10	6
10	100	6
100	100	6
1000	100	6
5000	100	6
10	1000	6
100	1000	6
1000	1000	6
5000	1000	6
10	0	7
100	0	7
1000	0	7
5000	0	7
10	10	7
100	10	7
1000	10	7
5000	10	7
10	100	7
100	100	7
1000	100	7
5000	100	7
10	1000	7
100	1000	7
1000	1000	7
5000	1000	7
10	0	8
100	0	8
1000	0	8
5000	0	8
10	10	8
100	10	8
1000	10	8
5000	10	8
10	100	8
100	100	8
1000	100	8
5000	100	8
10	1000	8
100	1000	8
1000	1000	8
5000	1000	8
